"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"246","AD Poynter (IRE)","2012-2016","19","219","57","19.90","0","-","-","-","-","2","0","-",""
"247","V Sehwag (INDIA)","2006-2012","19","394","68","21.88","0","0","-","-","0","2","0","-",""
"248","TLW Cooper (NL)","2012-2016","18","404","72*","28.85","0","3","2/18","44.00","0","6","0","-15.14",""
"249","PJ Cummins (AUS)","2011-2017","18","28","13","4.00","0","23","3/15","20.52","0","4","0","-16.52",""
"250","CRD Fernando (SL)","2006-2016","18","25","21","5.00","0","18","3/19","25.77","0","3","0","-20.77",""
"251","Haseeb Amjad (HKG)","2014-2016","18","45","12*","11.25","0","24","4/16","18.87","0","2","0","-7.62",""
"252","EC Joyce (ENG/IRE)","2006-2014","18","405","78*","33.75","0","-","-","-","-","5","0","-",""
"253","Nasir Jamshed (PAK)","2012-2013","18","363","56","21.35","0","-","-","-","-","6","0","-",""
"254","SR Patel (ENG)","2011-2013","18","189","67","15.75","0","7","2/6","45.85","0","3","0","-30.10",""
"255","SP Patil (UAE)","2014-2016","18","187","37","14.38","0","-","-","-","-","9","4","-",""
"256","RR Sarwan (WI)","2007-2010","18","298","59","22.92","0","2","2/10","5.00","0","7","0","17.92",""
"257","RJ Sidebottom (ENG)","2007-2010","18","5","5*","-","0","23","3/16","19.00","0","5","0","-",""
"258","PA van Meekeren (NL)","2013-2017","18","21","18","5.25","0","18","4/11","18.33","0","4","0","-13.08",""
"259","MRJ Watt (SCOT)","2015-2017","18","31","11*","10.33","0","19","5/27","23.10","1","2","0","-12.77",""
"260","AR White (IRE)","2008-2012","18","137","29","22.83","0","2","2/18","9.00","0","2","0","13.83",""
"261","HS Baidwan (CAN)","2008-2013","17","54","21","6.00","0","27","4/19","15.22","0","7","0","-9.22",""
"262","TA Boult (NZ)","2013-2017","17","13","5","3.25","0","26","4/34","19.46","0","10","0","-16.21",""
"263","GD Drummond (SCOT)","2008-2013","17","54","35","7.71","0","16","3/20","23.81","0","2","0","-16.09",""
"264","GD Elliott (NZ/World)","2009-2017","17","171","27","15.54","0","14","4/22","16.78","0","4","0","-1.24",""
"265","HMRKB Herath (SL)","2011-2016","17","8","3","2.66","0","18","5/3","20.72","1","0","0","-18.05",""
"266","Z Khan (INDIA)","2006-2012","17","13","9","6.50","0","17","4/19","26.35","0","2","0","-19.85",""
"267","HG Munsey (SCOT)","2015-2017","17","232","62*","17.84","0","-","-","-","-","5","0","-",""
"268","Mustafizur Rahman (BDESH)","2015-2017","17","8","6","2.00","0","27","5/22","14.92","1","3","0","-12.92",""
"269","DP Nannes (AUS/NL)","2009-2010","17","22","12*","11.00","0","28","4/18","16.39","0","1","0","-5.39",""
"270","RT Ponting (AUS)","2005-2009","17","401","98*","28.64","0","-","-","-","-","8","0","-",""
"271","MJG Rippon (NL)","2013-2017","17","178","42","25.42","0","15","3/8","20.66","0","4","0","4.76",""
"272","MJ Santner (NZ)","2015-2017","17","79","27*","9.87","0","21","4/11","19.23","0","10","0","-9.36",""
"273","OA Shah (ENG)","2007-2009","17","347","55*","24.78","0","-","-","-","-","5","0","-",""
"274","Sultan Ahmed (OMAN)","2015-2017","17","104","37*","11.55","0","-","-","-","-","14","3","-",""
"275","T Taibu (ZIM)","2007-2012","17","259","45*","28.77","0","0","-","-","0","6","5","-",""
"276","Taskin Ahmed (BDESH)","2014-2017","17","21","15*","7.00","0","10","2/32","37.00","0","1","0","-29.99",""
"277","WU Tharanga (SL)","2006-2017","17","221","37","13.00","0","-","-","-","-","2","0","-",""
"278","JC Tredwell (ENG)","2012-2014","17","32","22","10.66","0","7","1/16","59.42","0","2","0","-48.76",""
"279","Anwar Ali (PAK)","2008-2016","16","109","46","15.57","0","10","2/27","36.70","0","5","0","-21.12",""
"280","Bilal Khan (OMAN)","2015-2017","16","5","4*","5.00","0","21","4/20","19.04","0","5","0","-14.04",""
"281","DT Christian (AUS)","2010-2017","16","27","9","6.75","0","11","3/27","28.81","0","5","0","-22.06",""
"282","CR Ervine (ZIM)","2010-2015","16","229","42","15.26","0","-","-","-","-","8","0","-",""
"283","BMAJ Mendis (SL)","2011-2013","16","197","43*","21.88","0","6","3/24","19.33","0","4","0","2.55",""
"284","J Mubarak (SL)","2007-2009","16","238","46*","21.63","0","1","1/9","17.00","0","9","0","4.63",""
"285","RW Price (ZIM)","2008-2012","16","15","7*","3.00","0","13","2/6","29.07","0","3","0","-26.07",""
"286","K Rabada (SA)","2014-2016","16","5","5*","-","0","22","3/30","22.63","0","2","0","-",""
"287","Rizwan Cheema (CAN)","2008-2013","16","238","68","15.86","0","9","2/19","42.44","0","8","0","-26.57",""
"288","Rubel Hossain (BDESH)","2009-2017","16","15","8*","7.50","0","15","3/31","33.93","0","1","0","-26.43",""
"289","MD Shanaka (SL)","2015-2017","16","167","54","11.13","0","6","3/16","21.33","0","3","0","-10.19",""
"290","LPC Silva (SL)","2006-2011","16","175","38","13.46","0","1","1/4","15.00","0","5","0","-1.53",""
"291","DJ Willey (ENG)","2015-2017","16","75","21","10.71","0","20","3/20","22.40","0","8","0","-11.68",""
"292","Zeeshan Maqsood (OMAN)","2015-2017","16","368","52","24.53","0","10","3/22","26.60","0","2","0","-2.06",""
"293","TN de Grooth (NL)","2008-2013","15","163","49","20.37","0","-","-","-","-","4","0","-",""
"294","RM Hira (NZ)","2012-2013","15","37","20*","18.50","0","10","2/42","33.70","0","2","0","-15.19",""
"295","BJ Hodge (AUS)","2007-2014","15","183","36","26.14","0","1","1/13","43.00","0","5","0","-16.85",""
"296","GB Hogg (AUS)","2006-2014","15","55","41","13.75","0","7","2/31","53.28","0","1","0","-39.53",""
"297","SE Marsh (AUS)","2008-2016","15","255","47*","18.21","0","-","-","-","-","3","0","-",""
"298","T Mishra (KENYA)","2007-2013","15","227","38","15.13","0","3","3/25","11.00","0","3","0","4.13",""
"299","JDS Neesham (NZ)","2012-2017","15","122","28","13.55","0","11","3/16","23.54","0","7","0","-9.98",""
"300","AM Phangiso (SA)","2012-2017","15","19","13","6.33","0","20","3/25","21.50","0","0","0","-15.16",""
"301","RR Rossouw (SA)","2014-2016","15","327","78","29.72","0","-","-","-","-","9","0","-",""
"302","KD Shah (HKG)","2014-2016","15","77","29","8.55","0","-","-","-","-","3","0","-",""
"303","Sharjeel Khan (PAK)","2013-2016","15","360","59","24.00","0","-","-","-","-","5","0","-",""
"304","Shoaib Akhtar (PAK)","2006-2010","15","21","8*","7.00","0","19","3/38","22.73","0","2","0","-15.73",""
"305","IS Sodhi (NZ)","2014-2017","15","11","11*","-","0","26","3/18","14.50","0","4","0","-",""
"306","SO Tikolo (KENYA)","2007-2013","15","345","56*","28.75","0","12","4/2","14.00","0","5","0","14.75",""
"307","CA Young (IRE)","2015-2017","15","4","2*","4.00","0","10","2/15","33.80","0","3","0","-29.79",""
"308","Babar Azam (PAK)","2016-2017","14","468","86","46.80","0","-","-","-","-","6","0","-",""
"309","LE Bosman (SA)","2006-2010","14","323","94","24.84","0","-","-","-","-","1","0","-",""
"310","AC Botha (IRE)","2008-2010","14","130","38","13.00","0","21","3/14","8.76","0","8","0","4.23",""
"311","DAJ Bracewell (NZ)","2011-2015","14","77","21*","25.66","0","17","3/25","24.00","0","5","0","1.66",""
"312","JH Davey (SCOT)","2012-2017","14","55","24","11.00","0","14","4/34","30.14","0","9","0","-19.14",""
"313","Imrul Kayes (BDESH)","2010-2017","14","119","36","9.15","0","-","-","-","-","4","0","-",""
"314","Khawar Ali (OMAN)","2015-2017","14","214","38","16.46","0","8","2/12","30.62","0","2","0","-14.16",""
"315","AV Lalcheta (OMAN)","2015-2017","14","87","20","14.50","0","7","1/13","48.14","0","3","0","-33.64",""
"316","MA Leask (SCOT)","2013-2017","14","102","58","11.33","0","12","3/20","18.08","0","6","0","-6.74",""
"317","E Lewis (WI)","2016-2017","14","468","125*","36.00","2","-","-","-","-","5","0","-",""
"318","AD Mascarenhas (ENG)","2007-2009","14","123","31","15.37","0","12","3/18","25.75","0","7","0","-10.37",""
"319","CH Morris (SA)","2012-2017","14","73","17*","14.60","0","20","4/27","20.25","0","5","0","-5.64",""
"320","TJ Murtagh (IRE)","2012-2016","14","26","12*","13.00","0","13","3/23","24.92","0","3","0","-11.92",""
"321","R Mutumbami (ZIM)","2015-2016","14","173","43","15.72","0","-","-","-","-","7","3","-",""
"322","JL Ontong (SA)","2008-2015","14","158","48","15.80","0","1","1/25","83.00","0","10","0","-67.19",""
"323","T Panyangara (ZIM)","2013-2016","14","23","17*","23.00","0","20","4/37","19.90","0","2","0","3.10",""
"324","LE Plunkett (ENG)","2006-2017","14","23","18","4.60","0","19","3/21","20.15","0","4","0","-15.55",""
"325","SW Poynter (IRE)","2015-2017","14","152","39","12.66","0","-","-","-","-","6","1","-",""
"326","I Sharma (INDIA)","2008-2013","14","8","5*","8.00","0","8","2/34","50.00","0","4","0","-41.99",""
"327","A Symonds (AUS)","2005-2009","14","337","85*","48.14","0","8","2/14","34.62","0","3","0","13.51",""
"328","ES Szwarczynski (NL)","2008-2013","14","233","45","21.18","0","-","-","-","-","4","0","-",""
"329","DLS van Bunge (NL)","2008-2013","14","90","24","11.25","0","1","1/14","15.00","0","4","0","-3.74",""
"330","MH Yardy (ENG)","2006-2011","14","96","35*","32.00","0","11","2/19","27.18","0","8","0","4.81",""
"331","Ziaur Rahman (BDESH)","2012-2014","14","117","40*","13.00","0","3","1/16","42.33","0","4","0","-29.33",""
"332","Anamul Haque (BDESH)","2012-2015","13","355","58","32.27","0","-","-","-","-","2","0","-",""
"333","JJ Atkinson (HKG)","2014-2016","13","202","53","16.83","0","-","-","-","-","14","0","-",""
"334","SW Billings (ENG)","2015-2017","13","148","53","13.45","0","-","-","-","-","8","1","-",""
"335","PVD Chameera (SL)","2015-2016","13","16","9*","16.00","0","10","3/30","35.90","0","5","0","-19.89",""
"336","CK Coventry (ZIM)","2010-2015","13","127","30","12.70","0","-","-","-","-","2","0","-",""
"337","Farhad Reza (BDESH)","2006-2014","13","72","19","8.00","0","6","2/34","43.50","0","4","0","-35.49",""
"338","AC Gilchrist (AUS)","2005-2008","13","272","48","22.66","0","-","-","-","-","17","0","-",""
"339","Khalid Latif (PAK)","2008-2016","13","237","59*","21.54","0","-","-","-","-","4","0","-",""
"340","TWM Latham (NZ)","2012-2017","13","163","39","16.30","0","-","-","-","-","6","0","-",""
"341","RE Levi (SA)","2012-2012","13","236","117*","21.45","1","-","-","-","-","4","0","-",""
"342","MW Machan (SCOT)","2013-2016","13","407","67*","40.70","0","5","3/23","31.20","0","7","0","9.50",""
"343","Mehran Khan (OMAN)","2015-2017","13","79","28*","11.28","0","9","3/18","21.88","0","1","0","-10.60",""
"344","Mohammad Sami (PAK)","2010-2016","13","21","8","21.00","0","21","3/16","18.42","0","3","0","2.57",""
"345","EMDY Munaweera (SL)","2012-2017","13","215","53","17.91","0","1","1/26","92.00","0","1","0","-74.08",""
"346","I Udana (SL)","2009-2017","13","27","19*","6.75","0","11","3/13","34.63","0","1","0","-27.88",""
"347","Usman Ghani (AFG)","2015-2017","13","292","69","22.46","0","-","-","-","-","7","0","-",""
"348","RV Uthappa (INDIA)","2007-2015","13","249","50","24.90","0","-","-","-","-","2","0","-",""
"349","Yasir Arafat (PAK)","2007-2012","13","92","17","13.14","0","16","3/18","19.75","0","1","0","-6.60",""
"350","Adnan Ilyas (OMAN)","2015-2016","12","258","54","23.45","0","-","-","-","-","5","0","-",""
"351","DM Bravo (WI)","2010-2014","12","235","42","21.36","0","-","-","-","-","2","0","-",""
"352","YS Chahal (INDIA)","2016-2017","12","3","3*","-","0","18","6/25","18.83","1","2","0","-",""
"353","PG Fulton (NZ)","2006-2012","12","127","25","11.54","0","-","-","-","-","4","0","-",""
"354","GM Hamilton (SCOT)","2007-2010","12","90","32","11.25","0","-","-","-","-","3","0","-",""
"355","Hasan Ali (PAK)","2016-2017","12","3","3*","-","0","18","3/23","20.11","0","3","0","-",""
"356","JR Hopes (AUS)","2005-2010","12","105","30","21.00","0","10","2/26","28.30","0","3","0","-7.29",""
"357","JK Kamande (KENYA)","2007-2010","12","83","42","9.22","0","13","3/28","16.30","0","1","0","-7.08",""
"358","R McLaren (SA)","2009-2014","12","9","6*","9.00","0","17","5/19","19.52","1","3","0","-10.52",""
"359","Mohammad Mithun (BDESH)","2014-2016","12","85","47","10.62","0","-","-","-","-","3","0","-",""
"360","M Muralitharan (SL)","2006-2010","12","1","1","0.50","0","13","3/29","22.84","0","1","0","-22.34",""
"361","TD Paine (AUS/World)","2009-2017","12","82","25","10.25","0","-","-","-","-","11","2","-",""
"362","MK Pandey (INDIA)","2015-2017","12","174","51*","21.75","0","-","-","-","-","1","0","-",""
"363","SM Pollock (SA)","2005-2008","12","86","36*","12.28","0","15","3/28","20.60","0","2","0","-8.31",""
"364","K Santokie (WI)","2011-2014","12","0","0*","-","0","18","4/21","15.44","0","1","0","-",""
"365","Shafiul Islam (BDESH)","2010-2017","12","19","16","4.75","0","8","2/19","38.50","0","1","0","-33.74",""
"366","CD Wallace (SCOT)","2012-2017","12","90","26*","22.50","0","-","-","-","-","5","2","-",""
"367","CAK Walton (WI)","2014-2017","12","153","40","13.90","0","-","-","-","-","9","2","-",""
"368","A Zampa (AUS)","2016-2017","12","11","5*","-","0","16","3/16","14.81","0","0","0","-",""
"369","Aamir Kaleem (OMAN)","2015-2016","11","161","46*","20.12","0","5","4/36","31.40","0","5","0","-11.27",""
"370","Aftab Ahmed (BDESH)","2006-2010","11","228","62*","22.80","0","0","-","-","0","4","0","-",""
"371","M Ansari (OMAN)","2015-2016","11","5","3*","-","0","8","3/37","41.75","0","0","0","-",""
"372","NT Broom (NZ)","2009-2017","11","73","36","12.16","0","-","-","-","-","4","0","-",""
"373","TL Chatara (ZIM)","2010-2016","11","8","8","8.00","0","11","2/21","28.00","0","2","0","-19.99",""
"374","C de Grandhomme (NZ)","2012-2017","11","92","41*","18.40","0","3","2/22","42.00","0","6","0","-23.59",""
"375","S Dhaniram (CAN)","2008-2010","11","100","26","11.11","0","6","2/9","32.00","0","4","0","-20.88",""
"376","XJ Doherty (AUS)","2012-2013","11","18","9*","18.00","0","10","3/20","30.00","0","0","0","-11.99",""
"377","AC Evans (SCOT)","2015-2016","11","1","1*","0.33","0","14","5/24","16.07","1","4","0","-15.73",""
"378","MR Gillespie (NZ)","2006-2008","11","21","7","10.50","0","10","4/7","25.50","0","1","0","-14.99",""
"379","MC Henriques (AUS)","2009-2017","11","159","62*","31.80","0","4","2/35","39.50","0","3","0","-7.69",""
"380","Jatinder Singh (OMAN)","2015-2016","11","200","42","18.18","0","0","-","-","0","6","0","-",""
"381","GSNFG Jayasuriya (SL)","2015-2016","11","157","40","15.70","0","3","1/11","48.66","0","2","0","-32.96",""
"382","Karim Janat (AFG)","2016-2017","11","109","25","18.16","0","12","3/24","26.08","0","4","0","-7.91",""
"383","P Khadka (NEPAL)","2014-2015","11","236","54","23.60","0","2","1/3","85.00","0","4","0","-61.39",""
"384","NFI McCallum (SCOT)","2007-2010","11","76","38","10.85","0","-","-","-","-","0","0","-",""
"385","PD McGlashan (NZ)","2006-2010","11","61","26","7.62","0","-","-","-","-","9","0","-",""
"386","G Malla (NEPAL)","2014-2015","11","163","48","14.81","0","-","-","-","-","3","0","-",""
"387","Mohammad Asif (PAK)","2006-2010","11","9","5*","-","0","13","4/18","26.38","0","3","0","-",""
"388","TM Odoyo (KENYA)","2007-2013","11","95","22","9.50","0","11","3/17","15.45","0","5","0","-5.95",""
"389","H Osinde (CAN)","2008-2013","11","31","17","7.75","0","10","3/36","25.00","0","7","0","-17.24",""
"390","H Patel (CAN)","2010-2013","11","220","88*","22.00","0","2","2/23","41.50","0","3","0","-19.49",""
"391","JS Patel (NZ)","2005-2008","11","9","5","3.00","0","16","3/20","16.81","0","4","0","-13.81",""
"392","B Regmi (NEPAL)","2014-2015","11","22","11","3.66","0","15","4/16","15.13","0","1","0","-11.46",""
"393","KAJ Roach (WI)","2008-2012","11","3","3*","-","0","10","2/25","28.40","0","1","0","-",""
"394","Sompal Kami (NEPAL)","2014-2015","11","85","40","17.00","0","12","2/13","22.33","0","1","0","-5.33",""
"395","JH Stander (SCOT)","2009-2012","11","94","45","10.44","0","3","2/24","52.00","0","2","0","-41.55",""
"396","Umar Amin (PAK)","2013-2017","11","121","47","17.28","0","-","-","-","-","3","0","-",""
"397","BV Vitori (ZIM)","2012-2016","11","8","7*","-","0","4","1/24","80.75","0","2","0","-",""
"398","Waqas Barkat (HKG)","2014-2017","11","90","32","12.85","0","0","-","-","0","5","0","-",""
"399","DF Watts (SCOT)","2007-2012","11","137","46","15.22","0","-","-","-","-","6","0","-",""
"400","DI Allan (KENYA)","2012-2013","10","86","18","8.60","0","4","2/8","20.50","0","2","0","-11.89",""
"401","Amir Ali (OMAN)","2015-2016","10","97","32*","19.40","0","1","1/6","67.00","0","1","0","-47.59",""
"402","Arafat Sunny (BDESH)","2014-2016","10","34","10","11.33","0","12","2/17","19.16","0","1","0","-7.83",""
"403","Asad Shafiq (PAK)","2010-2012","10","192","38","19.20","0","-","-","-","-","3","0","-",""
"404","A Balbirnie (IRE)","2015-2016","10","84","31","12.00","0","-","-","-","-","3","0","-",""
"405","B Bhandari (NEPAL)","2014-2015","10","31","13","3.87","0","-","-","-","-","5","2","-",""
"406","C Carter (HKG)","2015-2017","10","55","17","13.75","0","-","-","-","-","2","1","-",""
"407","GJ Hopkins (NZ)","2007-2010","10","86","36","10.75","0","-","-","-","-","4","2","-",""
"408","KD Karthik (INDIA)","2006-2017","10","148","48","21.14","0","-","-","-","-","5","2","-",""
"409","AN Kervezee (NL)","2009-2012","10","289","58*","32.11","0","-","-","-","-","4","0","-",""
"410","P Kumar (INDIA)","2008-2012","10","7","6","2.33","0","8","2/14","24.12","0","1","0","-21.79",""
"411","T Maruma (ZIM)","2008-2016","10","86","23*","14.33","0","1","1/8","20.00","0","4","0","-5.66",""
"412","S Matsikenyeri (ZIM)","2006-2012","10","76","32","7.60","0","0","-","-","0","5","0","-",""
"413","A Mishra (INDIA)","2010-2017","10","0","0","0.00","0","16","3/24","15.00","0","1","0","-14.99",""
"414","Mohammad Rizwan (PAK)","2015-2016","10","106","33*","17.66","0","-","-","-","-","2","1","-",""
"415","Naeem Islam (BDESH)","2008-2013","10","130","28","14.44","0","3","2/32","40.66","0","2","0","-26.22",""
"416","JD Nel (SCOT)","2007-2010","10","34","13*","11.33","0","12","3/10","14.08","0","1","0","-2.74",""
"417","M Ntini (SA)","2005-2011","10","10","5","5.00","0","6","2/22","49.66","0","2","0","-44.66",""
"418","DO Obuya (KENYA)","2007-2012","10","216","65*","27.00","0","-","-","-","-","2","1","-",""
"419","E Otieno (KENYA)","2012-2013","10","22","8","5.50","0","6","3/16","29.66","0","1","0","-24.16",""
"420","AR Patel (INDIA)","2015-2017","10","67","20*","16.75","0","9","3/17","27.66","0","4","0","-10.91",""
"421","MJ Prior (ENG)","2007-2010","10","127","32","21.16","0","-","-","-","-","6","3","-",""
"422","Raza Hasan (PAK)","2012-2014","10","18","13*","-","0","10","2/14","21.90","0","2","0","-",""
"423","Shadab Khan (PAK)","2017-2017","10","32","16*","32.00","0","14","4/14","16.64","0","2","0","15.35",""
"424","Shahzaib Hasan (PAK)","2009-2010","10","116","35","11.60","0","-","-","-","-","3","0","-",""
"425","RP Singh (INDIA)","2007-2009","10","3","2*","-","0","15","4/13","15.00","0","2","0","-",""
"426","Sohag Gazi (BDESH)","2012-2015","10","57","24","14.25","0","4","1/28","74.75","0","2","0","-60.49",""
"427","S Sreesanth (INDIA)","2006-2008","10","20","19*","20.00","0","7","2/12","41.14","0","2","0","-21.14",""
"428","S Vesawkar (NEPAL)","2014-2015","10","199","40","19.90","0","-","-","-","-","3","0","-",""
"429","RR Watson (SCOT)","2007-2010","10","159","54","17.66","0","3","1/4","30.66","0","4","0","-12.99",""
"430","KOK Williams (WI)","2016-2017","10","2","2*","-","0","19","3/11","12.31","0","3","0","-",""
"431","Aqib Ilyas (OMAN)","2015-2017","9","129","56*","18.42","0","-","-","-","-","2","0","-",""
"432","A Bagai (CAN)","2008-2013","9","284","67*","40.57","0","-","-","-","-","5","6","-",""
"433","Bilawal Bhatti (PAK)","2013-2015","9","23","13*","11.50","0","5","2/36","51.00","0","1","0","-39.49",""
"434","DE Bollinger (AUS)","2011-2014","9","1","1*","-","0","9","1/22","27.66","0","2","0","-",""
"435","SR Clark (AUS)","2006-2007","9","-","-","-","-","13","4/20","18.23","0","4","0","-",""
"436","PC Connell (IRE)","2008-2010","9","4","3*","4.00","0","10","3/8","15.60","0","3","0","-11.59",""
"437","MD Dai (PNG)","2015-2017","9","105","31","13.12","0","4","2/13","39.25","0","5","0","-26.12",""
"438","H Davids (SA)","2012-2013","9","161","68","17.88","0","1","1/6","13.00","0","0","0","4.88",""
"439","N Dickwella (SL)","2016-2017","9","199","68","24.87","0","-","-","-","-","3","0","-",""
"440","AB Dinda (INDIA)","2009-2012","9","22","19","22.00","0","17","4/19","14.41","0","1","0","7.58",""
"441","Fakhar Zaman (PAK)","2017-2017","9","130","31","16.25","0","-","-","-","-","1","0","-",""
"442","SP Gauchan (NEPAL)","2014-2015","9","13","6*","4.33","0","8","3/9","21.12","0","0","0","-16.79",""
"443","G Goudie (SCOT)","2010-2013","9","25","9*","6.25","0","7","3/22","32.00","0","4","0","-25.74",""
"444","DAS Gunaratne (SL)","2016-2017","9","185","84*","30.83","0","5","1/11","36.60","0","5","0","-5.76",""
"445","JW Hastings (AUS)","2010-2016","9","46","15","11.50","0","7","3/14","35.28","0","2","0","-23.78",""
"446","ML Hayden (AUS)","2005-2007","9","308","73*","51.33","0","-","-","-","-","1","0","-",""
"447","TM Head (AUS)","2016-2017","9","204","48*","29.14","0","1","1/16","25.00","0","3","0","4.14",""
"448","RR Hendricks (SA)","2014-2017","9","172","49","19.11","0","-","-","-","-","3","0","-",""
"449","CA Ingram (SA)","2010-2012","9","210","78","26.25","0","-","-","-","-","2","0","-",""
"450","KM Jadhav (INDIA)","2015-2017","9","122","58","20.33","0","-","-","-","-","1","0","-",""
"451","KM Jarvis (ZIM)","2011-2013","9","9","9*","3.00","0","10","3/15","27.00","0","0","0","-23.99",""
"452","Junaid Khan (PAK)","2011-2014","9","3","3*","-","0","8","3/24","29.50","0","0","0","-",""
"453","UT Khawaja (AUS)","2016-2016","9","241","58","26.77","0","-","-","-","-","5","0","-",""
"454","RAS Lakmal (SL)","2011-2017","9","2","1*","1.00","0","7","2/26","39.00","0","3","0","-37.99",""
"455","CK Langeveldt (SA)","2005-2010","9","4","2*","4.00","0","17","4/19","14.17","0","1","0","-10.17",""
"456","WK McCallan (IRE)","2008-2009","9","11","9*","11.00","0","8","2/26","19.00","0","3","0","-7.99",""
"457","N Madziva (ZIM)","2015-2016","9","60","28*","20.00","0","8","4/34","34.87","0","1","0","-14.87",""
"458","MR Marsh (AUS)","2011-2016","9","133","36","22.16","0","4","1/17","36.25","0","2","0","-14.08",""
"459","NO Miller (WI)","2009-2014","9","43","15*","43.00","0","11","2/20","20.36","0","2","0","22.63",""
"460","Muhammad Kaleem (UAE)","2016-2016","9","97","50","10.77","0","-","-","-","-","1","0","-",""
"461","T Muzarabani (ZIM)","2015-2016","9","0","0*","-","0","6","2/31","46.66","0","1","0","-",""
"462","Najeeb Tarakai (AFG)","2014-2017","9","216","90","24.00","0","-","-","-","-","0","0","-",""
"463","PM Nevill (AUS)","2016-2016","9","25","10*","25.00","0","-","-","-","-","2","1","-",""
"464","Nurul Hasan (BDESH)","2016-2017","9","78","30*","19.50","0","-","-","-","-","2","4","-",""
"465","AL Phehlukwayo (SA)","2017-2017","9","27","27*","13.50","0","10","3/19","23.10","0","1","0","-9.59",""
"466","KL Rahul (INDIA)","2016-2017","9","304","110*","50.66","1","-","-","-","-","1","0","-",""
"467","Sagar Pun (NEPAL)","2014-2015","9","90","20","10.00","0","6","3/26","21.83","0","2","0","-11.83",""
"468","Shamsur Rahman (BDESH)","2013-2014","9","86","53","10.75","0","-","-","-","-","2","0","-",""
"469","L Siaka (PNG)","2015-2017","9","78","31","8.66","0","-","-","-","-","6","0","-",""
"470","RML Taylor (SCOT)","2013-2016","9","85","41*","28.33","0","5","3/17","39.20","0","8","0","-10.86",""
"471","RN ten Doeschate (NL)","2008-2010","9","214","56","42.80","0","12","3/23","20.08","0","3","0","22.71",""
"472","J Theron (SA)","2010-2012","9","32","31*","-","0","12","4/27","21.75","0","2","0","-",""
"473","A Vala (PNG)","2015-2017","9","139","34*","17.37","0","7","2/7","15.00","0","7","0","2.37",""
"474","N Vanua (PNG)","2015-2017","9","102","28*","25.50","0","14","3/26","15.64","0","4","0","9.85",""
"475","M Vijay (INDIA)","2010-2015","9","169","48","18.77","0","0","-","-","0","3","0","-",""
"476","R Vinay Kumar (INDIA)","2010-2013","9","2","2*","-","0","10","3/24","24.70","0","1","0","-",""
"477","L Vincent (NZ)","2006-2007","9","174","42","19.33","0","-","-","-","-","1","0","-",""
"478","Abdur Rehman (PAK)","2007-2013","8","22","7*","11.00","0","11","2/7","17.45","0","6","0","-6.45",""
"479","IR Bell (ENG)","2006-2014","8","188","60*","26.85","0","-","-","-","-","4","0","-",""
"480","KM Dabengwa (ZIM)","2006-2010","8","46","16*","11.50","0","2","1/1","53.00","0","2","0","-41.49",""
"481","CD de Lange (SCOT)","2015-2017","8","35","22","11.66","0","8","2/17","21.37","0","3","0","-9.70",""
"482","N Deonarine (WI)","2010-2013","8","55","36*","11.00","0","0","-","-","0","2","0","-",""
"483","Ghulam Shabber (UAE)","2016-2017","8","50","20","16.66","0","-","-","-","-","5","1","-",""
"484","TGJ Gruijters (NL)","2012-2013","8","51","21*","25.50","0","3","1/5","24.66","0","4","0","0.83",""
"485","R Gunasekera (CAN)","2012-2013","8","202","65","25.25","0","-","-","-","-","0","0","-",""
"486","MD Gunathilaka (SL)","2016-2017","8","169","51","21.12","0","0","-","-","0","3","0","-",""
"487","AS Hansra (CAN)","2012-2013","8","82","30","13.66","0","7","2/13","13.42","0","2","0","0.23",""
"488","JO Holder (WI)","2014-2017","8","42","26*","14.00","0","7","2/27","32.85","0","3","0","-18.85",""
"489","Irfan Ahmed (HKG)","2014-2015","8","76","34","9.50","0","11","3/11","17.27","0","2","0","-7.77",""
"490","LM Jongwe (ZIM)","2015-2016","8","60","34","8.57","0","7","2/24","30.14","0","4","0","-21.57",""
"491","Junaid Siddiqui (CAN)","2012-2013","8","47","21","11.75","0","8","3/10","22.50","0","2","0","-10.74",""
"492","JM Kemp (SA)","2005-2007","8","203","89*","50.75","0","0","-","-","0","3","0","-",""
"493","SP Khakurel (NEPAL)","2014-2015","8","112","56","14.00","0","-","-","-","-","2","3","-",""
"494","CD McMillan (NZ)","2005-2007","8","187","57","31.16","0","-","-","-","-","3","0","-",""
"495","MF Maharoof (SL)","2006-2016","8","33","13*","8.25","0","7","2/18","28.42","0","2","0","-20.17",""
"496","BKG Mendis (SL)","2016-2017","8","74","22","9.25","0","-","-","-","-","0","0","-",""
"497","PJ Moor (ZIM)","2016-2016","8","120","35","24.00","0","-","-","-","-","3","0","-",""
"498","J Mulder (IRE)","2016-2017","8","6","5*","3.00","0","12","4/16","16.00","0","2","0","-12.99",""
"499","NM Odhiambo (KENYA)","2010-2013","8","46","26","15.33","0","5","2/33","25.40","0","1","0","-10.06",""
"500","MP O'Dowd (NL)","2015-2017","8","69","17","13.80","0","2","1/7","21.50","0","3","0","-7.69",""
"501","PJ Ongondo (KENYA)","2007-2008","8","28","16","4.66","0","5","2/18","35.40","0","0","0","-30.73",""
