"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"57","LJ Wright (ENG)","2007-2014","51","45","5","759","99*","18.97","554","137.00","0","4","9","68","31",""
"58","DJ Hussey (AUS)","2008-2012","39","36","3","756","88*","22.90","623","121.34","0","3","4","41","34",""
"59","Shaiman Anwar (UAE)","2014-2017","26","26","2","747","117*","31.12","616","121.26","1","4","1","59","29",""
"60","Sabbir Rahman (BDESH)","2014-2017","33","32","5","745","80","27.59","618","120.55","0","3","0","69","22",""
"61","JE Root (ENG)","2012-2017","25","23","4","743","90*","39.10","577","128.76","0","4","0","76","16",""
"62","Mushfiqur Rahim (BDESH)","2006-2017","61","53","9","741","50","16.84","655","113.12","0","1","3","61","19",""
"63","J Charles (WI)","2011-2016","34","33","0","724","84","21.93","595","121.68","0","4","4","84","26",""
"64","C Munro (NZ)","2012-2017","35","32","6","724","109*","27.84","475","152.42","2","3","4","48","46",""
"65","MEK Hussey (AUS)","2005-2012","38","30","11","721","60*","37.94","529","136.29","0","4","1","58","25",""
"66","LD Chandimal (SL)","2010-2017","48","42","2","720","58","18.00","697","103.29","0","4","0","65","15",""
"67","MDKJ Perera (SL)","2013-2017","27","27","0","716","84","26.51","542","132.10","0","6","0","76","24",""
"68","RS Bopara (ENG)","2008-2014","38","35","10","711","65*","28.44","599","118.69","0","3","0","54","17",""
"69","CK Kapugedera (SL)","2006-2017","43","38","7","703","50","22.67","591","118.95","0","1","0","58","25",""
"70","KJ O'Brien (IRE)","2008-2017","59","52","9","702","42*","16.32","595","117.98","0","0","8","49","28",""
"71","RD Berrington (SCOT)","2008-2017","40","33","4","698","100","24.06","582","119.93","1","1","5","66","15",""
"72","JH Kallis (SA)","2005-2012","25","23","4","666","73","35.05","558","119.35","0","5","0","56","20",""
"73","W Barresi (NL)","2012-2017","35","34","4","662","75*","22.06","569","116.34","0","3","3","55","20",""
"74","Najibullah Zadran (AFG)","2012-2017","40","32","13","643","60*","33.84","433","148.49","0","2","0","39","35",""
"75","SJ Myburgh (NL)","2012-2017","28","27","2","640","71*","25.60","519","123.31","0","5","5","73","21",""
"76","PW Borren (NL)","2008-2017","43","38","5","638","57","19.33","524","121.75","0","1","2","60","18",""
"77","ST Jayasuriya (SL)","2006-2011","31","30","3","629","88","23.29","487","129.15","0","4","4","76","23",""
"78","MR Swart (NL)","2012-2016","26","25","2","621","89","27.00","537","115.64","0","4","1","53","16",""
"79","CJ Chibhabha (ZIM)","2006-2016","30","29","0","600","67","20.68","552","108.69","0","5","2","71","11",""
"80","Salman Butt (PAK)","2007-2010","24","23","2","595","74","28.33","551","107.98","0","3","1","66","10",""
"81","BRM Taylor (ZIM)","2006-2014","26","26","5","594","75*","28.28","480","123.75","0","5","4","52","17",""
"82","DJG Sammy (WI/World)","2007-2017","68","52","18","587","42*","17.26","398","147.48","0","0","3","45","31",""
"83","PD Collingwood (ENG/World)","2005-2017","36","33","2","583","79","18.80","459","127.01","0","3","3","37","24",""
"84","DR Smith (WI)","2006-2015","33","32","0","582","72","18.18","474","122.78","0","3","1","62","31",""
"85","SB Styris (NZ)","2005-2010","31","29","2","578","66","21.40","483","119.66","0","1","0","40","25",""
"86","ADS Fletcher (WI)","2008-2016","32","31","4","576","84*","21.33","540","106.66","0","5","5","39","27",""
"87","JA Morkel (SA)","2005-2015","50","38","11","572","43","21.18","402","142.28","0","0","1","29","39",""
"88","MN Waller (ZIM)","2011-2016","28","27","5","567","68","25.77","414","136.95","0","1","2","38","26",""
"89","MJ Lumb (ENG)","2010-2014","27","27","1","552","63","21.23","413","133.65","0","3","1","64","21",""
"90","S Dhawan (INDIA)","2011-2017","28","28","3","543","80","21.72","459","118.30","0","3","1","68","14",""
"91","Babar Hayat (HKG)","2014-2017","24","24","4","541","122","27.05","433","124.94","1","2","2","45","20",""
"92","Soumya Sarkar (BDESH)","2015-2017","26","26","0","534","48","20.53","417","128.05","0","0","4","62","17",""
"93","C Kieswetter (ENG)","2010-2012","25","25","1","526","63","21.91","470","111.91","0","3","2","47","23",""
