"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"250","TN de Grooth (NL)","2008-2013","15","13","5","163","49","20.37","155","105.16","0","0","0","16","1",""
"251","TWM Latham (NZ)","2012-2017","13","10","0","163","39","16.30","157","103.82","0","0","0","12","2",""
"252","G Malla (NEPAL)","2014-2015","11","11","0","163","48","14.81","160","101.87","0","0","1","22","2",""
"253","JM Vince (ENG)","2015-2016","5","5","0","163","46","32.60","137","118.97","0","0","0","18","4",""
"254","Aamir Kaleem (OMAN)","2015-2016","11","10","2","161","46*","20.12","143","112.58","0","0","2","15","3",""
"255","H Davids (SA)","2012-2013","9","9","0","161","68","17.88","134","120.14","0","2","2","18","4",""
"256","JP Faulkner (AUS)","2012-2017","24","18","7","159","41*","14.45","138","115.21","0","0","0","7","5",""
"257","MC Henriques (AUS)","2009-2017","11","8","3","159","62*","31.80","122","130.32","0","2","0","8","7",""
"258","Junaid Siddique (BDESH)","2007-2012","7","7","0","159","71","22.71","108","147.22","0","1","1","16","7",""
"259","RR Watson (SCOT)","2007-2010","10","9","0","159","54","17.66","141","112.76","0","1","1","22","1",""
"260","JL Ontong (SA)","2008-2015","14","10","0","158","48","15.80","109","144.95","0","0","1","6","11",""
"261","Mudassar Bukhari (NL)","2008-2016","38","26","8","157","28*","8.72","152","103.28","0","0","1","10","4",""
"262","GSNFG Jayasuriya (SL)","2015-2016","11","10","0","157","40","15.70","141","111.34","0","0","0","11","7",""
"263","CAK Walton (WI)","2014-2017","12","11","0","153","40","13.90","132","115.90","0","0","3","14","8",""
"264","SW Poynter (IRE)","2015-2017","14","12","0","152","39","12.66","136","111.76","0","0","0","17","3",""
"265","HD Rutherford (NZ)","2013-2013","7","6","0","151","62","25.16","104","145.19","0","1","0","12","9",""
"266","SW Billings (ENG)","2015-2017","13","11","0","148","53","13.45","101","146.53","0","1","1","12","7",""
"267","KD Karthik (INDIA)","2006-2017","10","9","2","148","48","21.14","117","126.49","0","0","1","19","4",""
"268","SP Narine (WI)","2012-2017","48","20","8","147","30","12.25","116","126.72","0","0","2","13","5",""
"269","M Klinger (AUS)","2017-2017","3","3","0","143","62","47.66","112","127.67","0","1","0","12","2",""
"270","HH Pandya (INDIA)","2016-2017","24","14","1","140","31","10.76","112","125.00","0","0","2","7","7",""
"271","A Vala (PNG)","2015-2017","9","9","1","139","34*","17.37","161","86.33","0","0","0","11","3",""
"272","AC Voges (AUS)","2007-2013","7","5","2","139","51","46.33","114","121.92","0","1","0","8","2",""
"273","IJL Trott (ENG)","2007-2010","7","7","1","138","51","23.00","144","95.83","0","1","0","9","3",""
"274","KD Mills (NZ)","2005-2014","42","19","7","137","33*","11.41","123","111.38","0","0","4","11","5",""
"275","Mohammad Naveed (UAE)","2015-2017","22","18","8","137","25*","13.70","115","119.13","0","0","2","14","6",""
"276","DF Watts (SCOT)","2007-2012","11","9","0","137","46","15.22","127","107.87","0","0","2","13","3",""
"277","AR White (IRE)","2008-2012","18","12","6","137","29","22.83","128","107.03","0","0","0","12","2",""
"278","TC Bruce (NZ)","2017-2017","7","7","2","136","59*","27.20","103","132.03","0","1","0","13","3",""
"279","CJ Jordan (ENG)","2014-2017","26","16","6","134","27*","13.40","120","111.66","0","0","1","11","5",""
"280","MR Marsh (AUS)","2011-2016","9","9","3","133","36","22.16","104","127.88","0","0","0","6","8",""
"281","GEF Barnett (CAN)","2008-2010","5","5","1","131","36","32.75","136","96.32","0","0","0","16","0",""
"282","AC Botha (IRE)","2008-2010","14","11","1","130","38","13.00","141","92.19","0","0","2","12","1",""
"283","Fakhar Zaman (PAK)","2017-2017","9","8","0","130","31","16.25","118","110.16","0","0","0","12","2",""
"284","Naeem Islam (BDESH)","2008-2013","10","10","1","130","28","14.44","114","114.03","0","0","0","8","7",""
"285","Aqib Ilyas (OMAN)","2015-2017","9","9","2","129","56*","18.42","110","117.27","0","1","0","19","2",""
"286","Mirwais Ashraf (AFG)","2010-2016","25","19","8","128","28*","11.63","115","111.30","0","0","2","5","8",""
"287","CK Coventry (ZIM)","2010-2015","13","12","2","127","30","12.70","90","141.11","0","0","2","14","6",""
"288","PG Fulton (NZ)","2006-2012","12","12","1","127","25","11.54","140","90.71","0","0","2","7","6",""
"289","MA Ouma (KENYA)","2007-2013","22","19","1","127","19","7.05","160","79.37","0","0","3","15","1",""
"290","MJ Prior (ENG)","2007-2010","10","8","2","127","32","21.16","100","127.00","0","0","1","11","5",""
"291","AJ Redmond (NZ)","2009-2010","7","6","0","126","63","21.00","84","150.00","0","1","0","19","2",""
"292","Wahab Riaz (PAK)","2008-2017","27","14","4","126","30*","12.60","107","117.75","0","0","2","9","5",""
"293","RJ Peterson (SA)","2006-2014","21","12","4","124","34","15.50","113","109.73","0","0","1","13","2",""
"294","R Ashwin (INDIA)","2010-2017","46","11","7","123","31*","30.75","115","106.95","0","0","0","14","1",""
"295","AD Mascarenhas (ENG)","2007-2009","14","13","5","123","31","15.37","100","123.00","0","0","3","8","5",""
"296","Imad Wasim (PAK)","2015-2017","25","15","5","122","24*","12.20","81","150.61","0","0","4","9","6",""
"297","KM Jadhav (INDIA)","2015-2017","9","6","0","122","58","20.33","99","123.23","0","1","0","12","3",""
"298","JDS Neesham (NZ)","2012-2017","15","12","3","122","28","13.55","93","131.18","0","0","1","15","3",""
"299","Umar Amin (PAK)","2013-2017","11","7","0","121","47","17.28","109","111.00","0","0","2","15","1",""
"300","DR Martyn (AUS)","2005-2006","4","4","0","120","96","30.00","74","162.16","0","1","0","11","5",""
"301","PJ Moor (ZIM)","2016-2016","8","7","2","120","35","24.00","108","111.11","0","0","0","4","8",""
"302","Imrul Kayes (BDESH)","2010-2017","14","13","0","119","36","9.15","134","88.80","0","0","4","14","3",""
"303","SCJ Broad (ENG)","2006-2014","56","26","10","118","18*","7.37","118","100.00","0","0","2","7","3",""
"304","Ziaur Rahman (BDESH)","2012-2014","14","12","3","117","40*","13.00","91","128.57","0","0","3","3","10",""
"305","S Bau (PNG)","2016-2017","6","6","1","116","30","23.20","106","109.43","0","0","1","4","5",""
"306","RA Jadeja (INDIA)","2009-2017","40","18","6","116","25","9.66","124","93.54","0","0","2","6","2",""
"307","Shahzaib Hasan (PAK)","2009-2010","10","10","0","116","35","11.60","130","89.23","0","0","3","13","3",""
"308","WD Parnell (SA)","2009-2017","40","13","9","114","29*","28.50","96","118.75","0","0","0","10","3",""
"309","DL Maddy (ENG)","2007-2007","4","4","0","113","50","28.25","80","141.25","0","1","0","12","3",""
"310","SP Khakurel (NEPAL)","2014-2015","8","8","0","112","56","14.00","139","80.57","0","1","0","10","1",""
"311","AP Devcich (NZ)","2013-2014","4","4","0","111","59","27.75","79","140.50","0","1","0","17","2",""
"312","SP Fleming (NZ)","2005-2006","5","5","0","110","38","22.00","85","129.41","0","0","0","20","0",""
"313","JT Smuts (SA)","2017-2017","6","6","0","110","45","18.33","96","114.58","0","0","1","11","5",""
"314","Anwar Ali (PAK)","2008-2016","16","11","4","109","46","15.57","77","141.55","0","0","0","6","6",""
"315","MG Johnson (AUS)","2007-2013","30","17","7","109","28*","10.90","95","114.73","0","0","2","8","3",""
"316","Karim Janat (AFG)","2016-2017","11","7","1","109","25","18.16","102","106.86","0","0","0","6","6",""
"317","Harbhajan Singh (INDIA)","2006-2016","28","13","5","108","21","13.50","87","124.13","0","0","1","11","4",""
"318","B Zuiderent (NL)","2009-2010","6","6","1","108","43*","21.60","124","87.09","0","0","0","8","1",""
"319","Mohammad Rizwan (PAK)","2015-2016","10","7","1","106","33*","17.66","109","97.24","0","0","0","9","1",""
"320","MD Dai (PNG)","2015-2017","9","8","0","105","31","13.12","128","82.03","0","0","0","4","0",""
"321","JR Hopes (AUS)","2005-2010","12","7","2","105","30","21.00","98","107.14","0","0","0","7","1",""
"322","M Mosehle (SA)","2017-2017","7","6","1","105","36","21.00","65","161.53","0","0","0","6","9",""
"323","Sultan Ahmed (OMAN)","2015-2017","17","12","3","104","37*","11.55","83","125.30","0","0","3","14","0",""
"324","GP Swann (ENG)","2008-2012","39","16","11","104","34","20.80","89","116.85","0","0","2","9","1",""
"325","TG Southee (NZ)","2008-2017","41","17","5","103","23","8.58","79","130.37","0","0","2","8","6",""
"326","SM Davies (ENG)","2009-2011","5","5","0","102","33","20.40","82","124.39","0","0","0","12","0",""
"327","MA Leask (SCOT)","2013-2017","14","9","0","102","58","11.33","96","106.25","0","1","1","7","5",""
"328","N Vanua (PNG)","2015-2017","9","8","4","102","28*","25.50","62","164.51","0","0","1","4","7",""
"329","B Lee (AUS)","2005-2012","25","12","6","101","43*","16.83","71","142.25","0","0","2","9","4",""
"330","S Dhaniram (CAN)","2008-2010","11","9","0","100","26","11.11","123","81.30","0","0","0","6","2",""
"331","Rashid Khan (AFG)","2015-2017","27","10","5","100","33","20.00","74","135.13","0","0","0","8","6",""
"332","BR Dunk (AUS)","2014-2017","5","5","0","99","32","19.80","69","143.47","0","0","0","8","6",""
"333","Mosaddek Hossain (BDESH)","2016-2017","6","6","1","99","34*","19.80","91","108.79","0","0","0","7","3",""
"334","TP Ura (PNG)","2015-2017","6","6","0","99","32","16.50","87","113.79","0","0","0","13","1",""
"335","Amir Ali (OMAN)","2015-2016","10","8","3","97","32*","19.40","65","149.23","0","0","0","11","2",""
"336","NR Kumar (CAN)","2012-2013","6","6","0","97","38","16.16","95","102.10","0","0","0","10","1",""
"337","Muhammad Kaleem (UAE)","2016-2016","9","9","0","97","50","10.77","116","83.62","0","1","1","9","3",""
"338","AM Samad (CAN)","2008-2010","7","6","0","97","29","16.16","88","110.22","0","0","1","8","4",""
"339","XM Marshall (WI)","2008-2009","6","6","0","96","36","16.00","77","124.67","0","0","1","8","4",""
"340","RS Morton (WI)","2006-2010","7","7","1","96","40","16.00","103","93.20","0","0","1","8","2",""
"341","ML Udawatte (SL)","2008-2017","8","8","0","96","25","12.00","87","110.34","0","0","2","10","2",""
"342","MH Yardy (ENG)","2006-2011","14","8","5","96","35*","32.00","72","133.33","0","0","3","9","1",""
"343","TM Odoyo (KENYA)","2007-2013","11","10","0","95","22","9.50","119","79.83","0","0","1","6","2",""
"344","NS Poonia (SCOT)","2007-2010","8","7","2","95","38*","19.00","108","87.96","0","0","2","3","1",""
"345","JH Stander (SCOT)","2009-2012","11","11","2","94","45","10.44","90","104.44","0","0","3","6","4",""
"346","P Utseya (ZIM)","2006-2015","35","21","9","94","13*","7.83","115","81.73","0","0","3","6","1",""
"347","C de Grandhomme (NZ)","2012-2017","11","10","5","92","41*","18.40","62","148.38","0","0","1","4","7",""
"348","MC Sorensen (IRE)","2012-2016","26","11","6","92","26","18.40","79","116.45","0","0","1","4","3",""
"349","D Wiese (SA)","2013-2016","20","11","4","92","28","13.14","75","122.66","0","0","1","4","3",""
"350","Yasir Arafat (PAK)","2007-2012","13","11","4","92","17","13.14","79","116.45","0","0","0","8","2",""
"351","Raees Ahmadzai (AFG)","2010-2010","8","6","3","91","33*","30.33","84","108.33","0","0","0","5","1",""
"352","Saeed Ajmal (PAK)","2009-2015","64","23","12","91","21*","8.27","86","105.81","0","0","3","7","2",""
"353","CR Woakes (ENG)","2011-2015","8","7","4","91","37","30.33","63","144.44","0","0","1","4","5",""
"354","CJA Amini (PNG)","2015-2016","6","5","1","90","37*","22.50","97","92.78","0","0","0","4","1",""
"355","GM Hamilton (SCOT)","2007-2010","12","8","0","90","32","11.25","110","81.81","0","0","0","6","1",""
"356","Sagar Pun (NEPAL)","2014-2015","9","9","0","90","20","10.00","100","90.00","0","0","0","13","0",""
"357","DLS van Bunge (NL)","2008-2013","14","12","4","90","24","11.25","104","86.53","0","0","2","2","3",""
"358","CD Wallace (SCOT)","2012-2017","12","9","5","90","26*","22.50","79","113.92","0","0","0","9","0",""
"359","Waqas Barkat (HKG)","2014-2017","11","9","2","90","32","12.85","101","89.10","0","0","1","10","0",""
"360","GH Worker (NZ)","2015-2015","2","2","0","90","62","45.00","64","140.62","0","1","0","6","5",""
"361","AV Lalcheta (OMAN)","2015-2017","14","8","2","87","20","14.50","66","131.81","0","0","0","9","3",""
"362","Mandeep Singh (INDIA)","2016-2016","3","3","1","87","52*","43.50","73","119.17","0","1","0","11","1",""
"363","DI Allan (KENYA)","2012-2013","10","10","0","86","18","8.60","135","63.70","0","0","0","7","0",""
"364","GJ Hopkins (NZ)","2007-2010","10","8","0","86","36","10.75","71","121.12","0","0","0","5","5",""
"365","T Maruma (ZIM)","2008-2016","10","10","4","86","23*","14.33","83","103.61","0","0","1","6","3",""
"366","SM Pollock (SA)","2005-2008","12","9","2","86","36*","12.28","70","122.85","0","0","3","4","4",""
"367","Shamsur Rahman (BDESH)","2013-2014","9","8","0","86","53","10.75","85","101.17","0","1","2","12","1",""
"368","Mohammad Mithun (BDESH)","2014-2016","12","8","0","85","47","10.62","93","91.39","0","0","2","6","3",""
"369","Sompal Kami (NEPAL)","2014-2015","11","7","2","85","40","17.00","78","108.97","0","0","0","9","3",""
"370","JE Taylor (WI)","2006-2017","28","13","6","85","21","12.14","78","108.97","0","0","1","7","3",""
"371","RML Taylor (SCOT)","2013-2016","9","6","3","85","41*","28.33","58","146.55","0","0","0","6","4",""
"372","A Balbirnie (IRE)","2015-2016","10","7","0","84","31","12.00","94","89.36","0","0","1","9","0",""
"373","JK Kamande (KENYA)","2007-2010","12","9","0","83","42","9.22","92","90.21","0","0","2","5","3",""
"374","AS Hansra (CAN)","2012-2013","8","8","2","82","30","13.66","85","96.47","0","0","0","4","3",""
"375","TD Paine (AUS/World)","2009-2017","12","9","1","82","25","10.25","77","106.49","0","0","2","7","3",""
"376","Ehsan Khan (HKG)","2016-2017","4","3","2","81","42*","81.00","62","130.64","0","0","0","6","4",""
"377","Faizan Asif (UAE)","2014-2015","6","6","0","80","28","13.33","64","125.00","0","0","0","9","3",""
"378","Mehran Khan (OMAN)","2015-2017","13","9","2","79","28*","11.28","74","106.75","0","0","0","4","4",""
"379","MJ Santner (NZ)","2015-2017","17","11","3","79","27*","9.87","75","105.33","0","0","1","6","2",""
"380","CD Barnwell (WI)","2011-2013","6","6","2","78","34*","19.50","62","125.80","0","0","1","4","4",""
"381","GH Dockrell (IRE)","2010-2017","46","16","7","78","13*","8.66","77","101.29","0","0","3","4","1",""
"382","Khurram Nawaz (OMAN)","2017-2017","4","4","2","78","26*","39.00","69","113.04","0","0","0","4","3",""
"383","DJ Malan (ENG)","2017-2017","1","1","0","78","78","78.00","44","177.27","0","1","0","12","2",""
"384","Nurul Hasan (BDESH)","2016-2017","9","8","4","78","30*","19.50","63","123.80","0","0","1","9","0",""
"385","L Siaka (PNG)","2015-2017","9","9","0","78","31","8.66","91","85.71","0","0","2","7","2",""
"386","DAJ Bracewell (NZ)","2011-2015","14","8","5","77","21*","25.66","56","137.50","0","0","1","5","4",""
"387","KD Shah (HKG)","2014-2016","15","11","2","77","29","8.55","98","78.57","0","0","3","7","1",""
"388","A Flintoff (ENG)","2005-2007","7","7","1","76","31","12.66","60","126.66","0","0","1","7","2",""
"389","Imran Farhat (PAK)","2010-2011","7","7","0","76","19","10.85","70","108.57","0","0","1","14","0",""
"390","Irfan Ahmed (HKG)","2014-2015","8","8","0","76","34","9.50","83","91.56","0","0","2","4","6",""
"391","NFI McCallum (SCOT)","2007-2010","11","7","0","76","38","10.85","85","89.41","0","0","3","7","1",""
"392","S Matsikenyeri (ZIM)","2006-2012","10","10","0","76","32","7.60","82","92.68","0","0","2","6","3",""
"393","VS Solanki (ENG)","2005-2007","3","3","0","76","43","25.33","61","124.59","0","0","0","10","1",""
"394","GJ Thompson (IRE)","2016-2017","8","7","1","75","44","12.50","78","96.15","0","0","2","9","1",""
"395","DJ Willey (ENG)","2015-2017","16","10","3","75","21","10.71","64","117.18","0","0","1","2","5",""
"396","NJ Astle (NZ)","2005-2006","4","4","1","74","40*","24.66","67","110.44","0","0","0","7","2",""
"397","BKG Mendis (SL)","2016-2017","8","8","0","74","22","9.25","60","123.33","0","0","0","6","3",""
"398","KO Otieno (KENYA)","2008-2008","4","4","0","74","40","18.50","79","93.67","0","0","0","5","2",""
"399","PM Seelaar (NL)","2008-2017","39","17","4","74","12","5.69","83","89.15","0","0","1","5","1",""
"400","NT Broom (NZ)","2009-2017","11","7","1","73","36","12.16","68","107.35","0","0","0","8","1",""
"401","Khurram Khan (UAE)","2014-2014","3","3","0","73","31","24.33","73","100.00","0","0","0","8","0",""
"402","AR McBrine (IRE)","2014-2017","19","11","5","73","14*","12.16","70","104.28","0","0","1","6","1",""
"403","SL Malinga (SL)","2006-2017","68","21","8","73","27","5.61","94","77.65","0","0","5","3","3",""
"404","CH Morris (SA)","2012-2017","14","8","3","73","17*","14.60","66","110.60","0","0","1","6","2",""
"405","AJ Strauss (ENG)","2005-2009","4","4","0","73","33","18.25","64","114.06","0","0","1","9","0",""
"406","Farhad Reza (BDESH)","2006-2014","13","9","0","72","19","8.00","88","81.81","0","0","1","4","2",""
"407","Awais Zia (PAK)","2012-2014","5","5","0","70","23","14.00","80","87.50","0","0","0","4","3",""
"408","SM Katich (AUS)","2005-2006","3","2","0","69","39","34.50","47","146.80","0","0","0","8","2",""
"409","MP O'Dowd (NL)","2015-2017","8","7","2","69","17","13.80","69","100.00","0","0","0","1","2",""
"410","Dawlat Zadran (AFG)","2012-2017","33","16","7","68","13","7.55","42","161.90","0","0","3","4","6",""
"411","TM Dowlin (WI)","2009-2010","2","2","1","68","37*","68.00","69","98.55","0","0","0","8","0",""
"412","Mohammad Saifuddin (BDESH)","2017-2017","4","3","1","68","39*","34.00","58","117.24","0","0","0","5","2",""
"413","JNT Vare (PNG)","2015-2017","8","7","0","68","38","9.71","71","95.77","0","0","0","4","0",""
"414","Waqas Khan (HKG)","2014-2017","8","7","3","68","33*","17.00","89","76.40","0","0","1","3","2",""
"415","AR Patel (INDIA)","2015-2017","10","6","2","67","20*","16.75","53","126.41","0","0","0","3","3",""
"416","AG Cremer (ZIM)","2008-2016","27","18","6","65","17","5.41","93","69.89","0","0","2","2","0",""
"417","CA Lynn (AUS)","2014-2016","5","4","1","65","33*","21.66","48","135.41","0","0","0","3","4",""
"418","SM Sharif (SCOT)","2012-2017","24","10","4","65","26","10.83","53","122.64","0","0","2","4","2",""
"419","Shoaib Khan jnr (PAK)","2008-2008","4","4","0","65","50","16.25","74","87.83","0","1","1","7","0",""
"420","RM Haq (SCOT)","2007-2013","21","12","7","64","21*","12.80","96","66.66","0","0","1","2","1",""
"421","DP Hyatt (WI)","2011-2012","5","5","1","64","28","16.00","54","118.51","0","0","0","4","4",""
"422","DJ Reekers (NL)","2008-2009","6","5","0","64","29","12.80","49","130.61","0","0","1","10","2",""
"423","AN Cook (ENG)","2007-2009","4","4","0","61","26","15.25","54","112.96","0","0","0","10","0",""
"424","PD McGlashan (NZ)","2006-2010","11","9","1","61","26","7.62","64","95.31","0","0","0","6","2",""
"425","JWM Dalrymple (ENG)","2006-2007","3","3","0","60","32","20.00","57","105.26","0","0","0","6","0",""
"426","LM Jongwe (ZIM)","2015-2016","8","7","0","60","34","8.57","65","92.30","0","0","2","4","1",""
"427","N Madziva (ZIM)","2015-2016","9","7","4","60","28*","20.00","50","120.00","0","0","1","4","3",""
"428","Mominul Haque (BDESH)","2012-2014","6","4","1","60","26*","20.00","50","120.00","0","0","0","5","2",""
"429","P Mustard (ENG)","2008-2008","2","2","0","60","40","30.00","37","162.16","0","0","0","5","4",""
"430","Zeeshan Siddiqui (OMAN)","2015-2015","5","5","1","60","33*","15.00","63","95.23","0","0","0","7","0",""
"431","PS Airee (NEPAL)","2015-2015","7","7","0","59","29","8.42","53","111.32","0","0","3","8","0",""
"432","DR Flynn (NZ)","2008-2012","5","5","0","59","23","11.80","51","115.68","0","0","0","1","4",""
"433","JN Mohammed (WI)","2017-2017","5","4","3","59","23*","59.00","66","89.39","0","0","0","5","1",""
"434","S Samarawickrama (SL)","2017-2017","3","3","0","59","32","19.66","61","96.72","0","0","0","4","0",""
"435","Liton Das (BDESH)","2015-2017","4","4","0","58","22","14.50","52","111.53","0","0","0","3","2",""
"436","CJO Smith (SCOT)","2007-2009","8","6","1","58","46*","11.60","54","107.40","0","0","3","6","0",""
"437","Alok Kapali (BDESH)","2007-2011","7","7","2","57","19","11.40","85","67.05","0","0","2","3","1",""
"438","Sohag Gazi (BDESH)","2012-2015","10","7","3","57","24","14.25","59","96.61","0","0","0","3","1",""
"439","JM How (NZ)","2007-2008","5","5","0","56","31","11.20","67","83.58","0","0","0","5","1",""
"440","SMSM Senanayake (SL)","2012-2016","24","12","6","56","17","9.33","66","84.84","0","0","2","3","1",""
"441","C Carter (HKG)","2015-2017","10","5","1","55","17","13.75","63","87.30","0","0","0","3","0",""
"442","JH Davey (SCOT)","2012-2017","14","7","2","55","24","11.00","43","127.90","0","0","0","3","2",""
"443","N Deonarine (WI)","2010-2013","8","7","2","55","36*","11.00","53","103.77","0","0","3","5","0",""
"444","GB Hogg (AUS)","2006-2014","15","4","0","55","41","13.75","39","141.02","0","0","0","3","3",""
"445","SO Ngoche (KENYA)","2010-2013","19","12","4","55","38","6.87","70","78.57","0","0","2","2","2",""
"446","HS Baidwan (CAN)","2008-2013","17","11","2","54","21","6.00","52","103.84","0","0","4","4","1",""
"447","GD Drummond (SCOT)","2008-2013","17","7","0","54","35","7.71","65","83.07","0","0","2","3","0",""
"448","Naseem Khushi (OMAN)","2017-2017","4","3","0","54","29","18.00","37","145.94","0","0","1","2","4",""
"449","SMA Priyanjan (SL)","2017-2017","3","3","2","54","40*","54.00","62","87.09","0","0","0","1","2",""
"450","Usman Limbada (CAN)","2010-2013","7","3","2","53","21*","53.00","41","129.26","0","0","0","6","0",""
"451","NM Coulter-Nile (AUS)","2013-2017","19","8","2","52","16*","8.66","45","115.55","0","0","2","1","5",""
"452","RP Magar (NEPAL)","2014-2015","6","6","0","52","25","8.66","89","58.42","0","0","1","0","3",""
"453","IS Billcliff (CAN)","2010-2010","2","2","0","51","37","25.50","39","130.76","0","0","0","3","2",""
"454","TGJ Gruijters (NL)","2012-2013","8","5","3","51","21*","25.50","47","108.51","0","0","0","3","1",""
"455","Raqibul Hasan (BDESH)","2008-2010","5","5","0","51","18","10.20","62","82.25","0","0","0","3","1",""
"456","HA Varaiya (KENYA)","2007-2013","25","12","11","51","18*","51.00","81","62.96","0","0","0","1","0",""
"457","Ghulam Shabber (UAE)","2016-2017","8","5","2","50","20","16.66","43","116.27","0","0","0","4","2",""
"458","Hamid Hassan (AFG)","2010-2016","22","9","6","50","22","16.66","46","108.69","0","0","0","3","2",""
"459","Mohammad Yousuf (PAK)","2006-2010","3","3","0","50","26","16.66","43","116.27","0","0","0","5","1",""
"460","U Bhatti (CAN)","2008-2010","7","7","3","49","12","12.25","48","102.08","0","0","0","3","1",""
"461","CU Jayasinghe (SL)","2009-2010","5","3","2","49","38","49.00","49","100.00","0","0","0","3","1",""
"462","HG Kuhn (SA)","2009-2017","7","6","2","49","29","12.25","42","116.66","0","0","0","3","2",""
"463","SD Outerbridge (BMUDA)","2008-2008","3","3","1","49","37*","24.50","51","96.07","0","0","0","2","1",""
"464","DA Rankin (IRE)","2015-2016","2","2","0","49","34","24.50","54","90.74","0","0","0","3","2",""
"465","Shahid Wasif (HKG)","2016-2017","4","4","2","49","40","24.50","33","148.48","0","0","0","3","1",""
"466","K Weeraratne (SL)","2008-2009","5","5","2","49","20*","16.33","45","108.88","0","0","0","4","1",""
"467","Junaid Siddiqui (CAN)","2012-2013","8","6","2","47","21","11.75","39","120.51","0","0","1","2","2",""
"468","IA Karim (KENYA)","2013-2013","7","7","0","47","15","6.71","82","57.31","0","0","2","2","1",""
"469","KM Dabengwa (ZIM)","2006-2010","8","7","3","46","16*","11.50","40","115.00","0","0","0","4","2",""
"470","JW Hastings (AUS)","2010-2016","9","6","2","46","15","11.50","37","124.32","0","0","0","3","1",""
"471","MM Iqbal (SCOT)","2012-2013","6","3","0","46","31","15.33","45","102.22","0","0","0","4","1",""
"472","NM Odhiambo (KENYA)","2010-2013","8","5","2","46","26","15.33","72","63.88","0","0","1","4","1",""
"473","JJ van der Wath (SA)","2006-2007","8","4","1","46","21","15.33","39","117.94","0","0","0","3","1",""
"474","Haris Sohail (PAK)","2013-2015","4","4","1","45","30*","15.00","49","91.83","0","0","0","1","1",""
"475","Haseeb Amjad (HKG)","2014-2016","18","10","6","45","12*","11.25","45","100.00","0","0","0","3","1",""
"476","T van der Gugten (NL)","2012-2017","25","7","3","45","12*","11.25","44","102.27","0","0","0","1","2",""
"477","JM Davison (CAN)","2008-2010","5","5","0","44","19","8.80","40","110.00","0","0","2","2","3",""
"478","Saad Nasim (PAK)","2014-2014","3","2","0","44","25","22.00","53","83.01","0","0","0","0","1",""
"479","S Badrinath (INDIA)","2011-2011","1","1","0","43","43","43.00","37","116.21","0","0","0","5","0",""
"480","NO Miller (WI)","2009-2014","9","5","4","43","15*","43.00","47","91.48","0","0","0","2","0",""
"481","RR Pant (INDIA)","2017-2017","2","2","1","43","38","43.00","38","113.15","0","0","0","3","1",""
"482","L Tucker (IRE)","2016-2017","4","4","0","43","16","10.75","42","102.38","0","0","0","4","1",""
"483","Amjad Ali (UAE)","2014-2015","5","5","1","42","20","10.50","52","80.76","0","0","0","6","0",""
"484","JO Holder (WI)","2014-2017","8","4","1","42","26*","14.00","37","113.51","0","0","1","4","1",""
"485","NG Jones (IRE)","2010-2012","5","4","2","42","14*","21.00","38","110.52","0","0","1","1","2",""
"486","AT Rayudu (INDIA)","2014-2016","6","5","1","42","20","10.50","50","84.00","0","0","2","5","0",""
"487","Abdur Razzak (BDESH)","2006-2014","34","20","10","41","9","4.10","74","55.40","0","0","5","1","0",""
"488","Ahmed Raza (UAE)","2014-2017","21","8","4","41","12","10.25","72","56.94","0","0","1","0","1",""
"489","K Jethi (CAN)","2008-2008","5","5","1","41","24","10.25","59","69.49","0","0","1","0","2",""
"490","Mohammad Amir (PAK)","2009-2017","32","8","3","41","21*","8.20","51","80.39","0","0","1","1","2",""
"491","K Pala (PNG)","2015-2015","2","2","1","41","22*","41.00","30","136.66","0","0","0","4","2",""
"492","Amir Hamza (AFG)","2013-2017","31","9","5","40","21","10.00","38","105.26","0","0","1","3","1",""
"493","BCJ Cutting (AUS/World)","2013-2017","7","5","1","40","29","10.00","27","148.14","0","0","1","2","3",""
"494","KDK Vithanage (SL)","2014-2016","3","3","0","40","38","13.33","34","117.64","0","0","0","7","0",""
"495","RR David (CAN)","2008-2008","4","4","0","39","17","9.75","65","60.00","0","0","0","2","1",""
"496","Munir Dar (HKG)","2014-2014","2","2","0","39","36","19.50","33","118.18","0","0","0","3","1",""
"497","Rafatullah Mohmand (PAK)","2015-2015","3","3","0","39","23","13.00","45","86.66","0","0","1","4","0",""
"498","RI Ahmed (NL)","2015-2015","2","2","0","38","25","19.00","50","76.00","0","0","0","2","0",""
"499","R Flannigan (SCOT)","2012-2012","4","4","1","38","18","12.66","33","115.15","0","0","1","4","0",""
"500","NJ Maddinson (AUS)","2013-2014","2","2","0","38","34","19.00","22","172.72","0","0","0","6","1",""
"501","D Mongia (INDIA)","2006-2006","1","1","0","38","38","38.00","45","84.44","0","0","0","4","1",""
"502","F Mutizwa (ZIM)","2011-2012","3","3","0","38","22","12.66","36","105.55","0","0","1","3","0",""
"503","BJ Watling (NZ)","2009-2014","5","4","0","38","22","9.50","58","65.51","0","0","0","3","0",""
"504","SJ Benn (WI)","2008-2016","24","7","4","37","13*","12.33","42","88.09","0","0","1","5","1",""
"505","JS Foster (ENG)","2009-2009","5","5","2","37","14*","12.33","32","115.62","0","0","0","0","1",""
"506","RM Hira (NZ)","2012-2013","15","3","1","37","20*","18.50","33","112.12","0","0","0","4","1",""
