"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"54","MA Starc (AUS)","2012-2016","22","22","83.3","1","566","30","3/11","18.86","6.77","16.7","0","0",""
"55","JE Taylor (WI)","2006-2017","28","28","92.0","2","769","30","3/6","25.63","8.35","18.4","0","0",""
"56","Amir Hamza (AFG)","2013-2017","31","31","106.0","2","716","29","3/39","24.68","6.75","21.9","0","0",""
"57","Mohammad Naveed (UAE)","2015-2017","22","22","82.4","3","501","29","3/14","17.27","6.06","17.1","0","0",""
"58","R Rampaul (WI)","2007-2015","23","23","82.5","1","705","29","3/16","24.31","8.51","17.1","0","0",""
"59","RE van der Merwe (NL/SA)","2009-2017","24","23","80.0","0","546","29","2/3","18.82","6.82","16.5","0","0",""
"60","Aizaz Khan (HKG)","2014-2017","23","23","77.2","2","530","28","3/10","18.92","6.85","16.5","0","0",""
"61","RM Haq (SCOT)","2007-2013","21","20","75.0","1","472","28","3/20","16.85","6.29","16.0","0","0",""
"62","B Lee (AUS)","2005-2012","25","25","90.5","0","714","28","3/23","25.50","7.86","19.4","0","0",""
"63","DP Nannes (AUS/NL)","2009-2010","17","16","61.0","2","459","28","4/18","16.39","7.52","13.0","1","0",""
"64","IK Pathan (INDIA)","2006-2012","24","23","77.0","1","618","28","3/16","22.07","8.02","16.5","0","0",""
"65","WB Rankin (ENG/IRE)","2009-2017","26","25","87.0","1","537","28","3/16","19.17","6.17","18.6","0","0",""
"66","Samiullah Shenwari (AFG)","2010-2017","55","37","103.4","0","660","28","5/13","23.57","6.36","22.2","1","1",""
"67","SM Sharif (SCOT)","2012-2017","24","23","76.4","0","610","28","4/24","21.78","7.95","16.4","1","0",""
"68","SW Tait (AUS)","2007-2016","21","21","79.4","2","589","28","3/13","21.03","7.39","17.0","0","0",""
"69","Wahab Riaz (PAK)","2008-2017","27","27","90.3","2","723","28","3/18","25.82","7.98","19.3","0","0",""
"70","Yuvraj Singh (INDIA)","2007-2017","58","31","70.4","0","499","28","3/17","17.82","7.06","15.1","0","0",""
"71","HS Baidwan (CAN)","2008-2013","17","17","53.5","1","411","27","4/19","15.22","7.63","11.9","1","0",""
"72","ST Finn (ENG)","2011-2015","21","21","80.0","0","583","27","3/16","21.59","7.28","17.7","0","0",""
"73","Imad Wasim (PAK)","2015-2017","25","25","90.0","1","547","27","5/14","20.25","6.07","20.0","1","1",""
"74","Mustafizur Rahman (BDESH)","2015-2017","17","17","65.2","0","403","27","5/22","14.92","6.16","14.5","1","1",""
"75","KJ Abbott (SA)","2013-2016","21","21","72.4","0","579","26","3/20","22.26","7.96","16.7","0","0",""
"76","TA Boult (NZ)","2013-2017","17","17","62.0","1","506","26","4/34","19.46","8.16","14.3","1","0",""
"77","JA Morkel (SA)","2005-2015","50","46","107.5","2","864","26","3/12","33.23","8.01","24.8","0","0",""
"78","PM Seelaar (NL)","2008-2017","39","30","84.0","2","551","26","4/19","21.19","6.55","19.3","1","0",""
"79","IS Sodhi (NZ)","2014-2017","15","15","54.4","0","377","26","3/18","14.50","6.89","12.6","0","0",""
"80","MC Sorensen (IRE)","2012-2016","26","22","65.0","2","471","26","3/17","18.11","7.24","15.0","0","0",""
"81","P Utseya (ZIM)","2006-2015","35","35","124.5","2","858","26","3/25","33.00","6.87","28.8","0","0",""
"82","SE Bond (NZ)","2005-2010","20","20","77.3","2","543","25","3/18","21.72","7.00","18.6","0","0",""
"83","Harbhajan Singh (INDIA)","2006-2016","28","27","102.0","5","633","25","4/12","25.32","6.20","24.4","1","0",""
"84","Nadeem Ahmed (HKG)","2014-2017","24","24","82.3","3","546","25","4/21","21.84","6.61","19.8","1","0",""
"85","SMSM Senanayake (SL)","2012-2016","24","23","81.0","0","549","25","4/46","21.96","6.77","19.4","1","0",""
"86","Shoaib Malik (PAK)","2006-2017","92","42","83.0","0","576","25","2/7","23.04","6.93","19.9","0","0",""
"87","T van der Gugten (NL)","2012-2017","25","24","75.5","0","529","25","3/18","21.16","6.97","18.2","0","0",""
"88","TT Bresnan (ENG)","2006-2014","34","34","110.3","1","887","24","3/10","36.95","8.02","27.6","0","0",""
"89","Haseeb Amjad (HKG)","2014-2016","18","18","61.2","3","453","24","4/16","18.87","7.38","15.3","1","0",""
"90","RJ Peterson (SA)","2006-2014","21","19","59.5","1","451","24","3/28","18.79","7.53","14.9","0","0",""
"91","D Wiese (SA)","2013-2016","20","20","65.2","0","497","24","5/23","20.70","7.60","16.3","0","1",""
"92","IG Butler (NZ)","2009-2013","19","18","59.4","1","481","23","3/19","20.91","8.06","15.5","0","0",""
"93","NM Coulter-Nile (AUS)","2013-2017","19","19","71.0","0","575","23","4/31","25.00","8.09","18.5","1","0",""
"94","PJ Cummins (AUS)","2011-2017","18","18","69.0","3","472","23","3/15","20.52","6.84","18.0","0","0",""
"95","KA Pollard (WI)","2008-2017","56","36","81.0","0","669","23","3/30","29.08","8.25","21.1","0","0",""
"96","RJ Sidebottom (ENG)","2007-2010","18","18","61.1","0","437","23","3/16","19.00","7.14","15.9","0","0",""
"97","Mahmudullah (BDESH)","2007-2017","60","41","97.1","2","703","22","2/5","31.95","7.23","26.5","0","0",""
"98","SO Ngoche (KENYA)","2010-2013","19","19","59.3","0","416","22","4/14","18.90","6.99","16.2","2","0",""
"99","K Rabada (SA)","2014-2016","16","16","60.2","0","498","22","3/30","22.63","8.25","16.4","0","0",""
"100","MN Samuels (WI)","2007-2017","60","29","79.2","0","615","22","3/23","27.95","7.75","21.6","0","0",""
"101","Bilal Khan (OMAN)","2015-2017","16","15","55.0","0","400","21","4/20","19.04","7.27","15.7","1","0",""
"102","AC Botha (IRE)","2008-2010","14","10","34.0","0","184","21","3/14","8.76","5.41","9.7","0","0",""
"103","B Kumar (INDIA)","2012-2017","23","23","80.4","2","551","21","3/9","26.23","6.83","23.0","0","0",""
"104","AF Milne (NZ)","2010-2017","19","19","66.1","1","488","21","4/37","23.23","7.37","18.9","1","0",""
"105","Mohammad Sami (PAK)","2010-2016","13","13","46.0","0","387","21","3/16","18.42","8.41","13.1","0","0",""
"106","AD Russell (WI)","2011-2016","43","36","85.1","0","787","21","2/10","37.47","9.24","24.3","0","0",""
"107","MJ Santner (NZ)","2015-2017","17","17","59.1","0","404","21","4/11","19.23","6.82","16.9","1","0",""
