Player,BowlersRating
Farhan Ahmed,0.6
Fawad Ahmed,0.6
LH Ferguson,0.6
B Fernando,0.6
R Frylinck,0.6
ST Gabriel,0.6
D Gough,0.6
TGJ Gruijters,0.6
HF Gurney,0.6
AJ Hall,0.6
SM Harwood,0.6
GSNFG Jayasuriya,0.6
Kaleemullah,0.6
E Katchay,0.6
SKW Kelly,0.6
DS Kulkarni,0.6
DL Maddy,0.6
SI Mahmood,0.6
Mansoor Amjad,0.6
TS Mills,0.6
T Mishra,1
Mohammad Saifuddin,0.6
Naeem Islam,0.6
SD Parry,0.6
JL Pattinson,0.6
MDK Perera,0.6
P Raho,0.6
CAK Rajitha,0.6
RJ Ranpura,0.6
A Shahzad,0.6
Sharafuddin Ashraf,0.6
R Sharma,0.6
PM Siddle,0.6
JH Stander,0.6
Tanveer Ahmed,0.6
AC Thomas,0.6
DR Tuffey,0.6
AJ Turner,0.6
Usman Khan,0.6
MB van Schelven,0.6
RR Watson,0.6
RM West,0.6
Younis Khan,0.6
Zahid Hussain,0.6
Zahoor Khan,0.6
Ziaur Rahman,1
YA Abdulla,0.6
Abul Hasan,0.6
Alok Kapali,0.6
LS Baker,0.6
RJ Campbell,0.6
KM Dabengwa,0.6
JWM Dalrymple,0.6
Dawlat Ahmadzai,0.6
AS Dean,0.6
AP Devcich,0.6
LHD Dilhara,0.6
Ehsan Nawaz,0.6
AM Ellis,0.6
B Geeves,0.6
JOA Gordon,0.6
NM Hauritz,0.6
PA Hitchcock,0.6
Imran Khan,0.6
MM Iqbal,0.6
Jubair Hossain,0.6
Kamran Shazad,0.6
P Khadka,1.4
A Khan,0.6
B Laughlin,0.6
KS Lokuarachchi,0.6
J Louw,0.6
AJ McKay,0.6
CS MacLeod,0.6
GI Maiden,0.6
GT Main,0.6
H Masakadza,0.6
MJ Mason,0.6
SC Meaker,0.6
Mehidy Hasan Miraz,0.6
Mosaddek Hossain,0.6
CT Mutombodzi,0.6
M Nasim Baras,0.6
A Nel,0.6
MP O'Dowd,0.6
MS Panesar,0.6
H Patel,0.6
N Pokana,0.6
DBL Powell,0.6
Raza-ur-Rehman,0.6
AJ Redmond,0.6
JA Richardson,0.6
GA Rogers,0.6
IH Romaine,0.6
JD Ryder,0.6
RR Sarwan,0.6
Sharif Asadullah,0.6
Shuvagata Hom,0.6
EHSN Silva,0.6
R Telemachus,0.6
S Thuraisingam,0.6
CT Tremlett,0.6
AC Voges,0.6
SR Welsh,0.6
AR White,0.6
G Wijekoon,0.6
Aamer Yamin,0.6
SA Abbott,0.6
AC Agar,0.6
GW Aldridge,0.6
Amir Ali,0.6
S Aravind,0.6
Asghar Stanikzai,0.6
CD Barnwell,0.6
A Bhattarai,0.6
STR Binny,0.6
N Boje,0.6
SG Borthwick,0.6
CL Cairns,0.6
MS Crane,0.6
H Davids,0.6
JL Denly,0.6
PA Desai,0.6
DM de Silva,0.6
R Dhawan,0.6
Fayyaz Ahmed,0.6
JN Gillespie,0.6
SJ Harmison,0.6
TM Head,0.6
BJ Hodge,0.6
Iftikhar Anjum,0.6
AJ Ireland,0.6
A Karn,0.6
Khurram Chohan,0.6
Khurram Khan,0.6
VJ Kingma,0.6
RT Lyons,0.6
A Martin,0.6
T Maruma,0.6
Mohammad Rafique,0.6
Mohammad Shahid,0.6
Mohammed Siraj,0.6
J Mubarak,0.6
EMDY Munaweera,0.6
C Munro,0.6
T Mupariwa,0.6
Najeeb Amar,0.6
Nazmul Hossain,0.6
P Negi,0.6
L Nou,0.6
AR Nurse,0.6
JL Ontong,0.6
MA Parker,0.6
Parvez Rasool,0.6
RR Patel,0.6
KP Pietersen,0.6
R Powell,0.6
D Pretorius,0.6
M Pushpakumara,0.6
RLB Rambukwella,0.6
KW Richardson,0.6
AM Samad,0.6
Sandeep Sharma,0.6
KV Sharma,0.6
RG Sharma,0.6
LPC Silva,0.6
JT Smuts,0.6
MP Stoinis,0.6
Sufyan Mehmood,0.6
Sultan Ahmed,0.6
Tanvir Ahmed,0.6
BRM Taylor,0.6
SR Tendulkar,0.6
EP Thompson,0.6
GC Tonge,0.6
Umair Ali,0.6
DLS van Bunge,0.6
UWMBCA Welegedara,0.6
CL White,0.6
LJ Woodcock,0.6
GH Worker,0.6
UT Yadav,0.6
Zaheer Maqsood,0.6
Zamir Khan,0.6
C Zhuwao,0.6
M Zondeki,0.6
Abdur Rauf,0.2
Aftab Ahmed,0.2
Ahmed Shehzad,0.2
J Anderson,0.2
Arsalan Qadir,0.2
Asad Ali,0.2
TD Astle,0.2
Atif Ali Khan,0.2
P Awana,0.2
KMC Bandara,0.2
GEF Barnett,0.2
GJ Batty,0.2
S Bau,0.2
DE Bernard,0.2
RL Bhudia,0.2
NE Bonner,0.2
IDR Bradshaw,0.2
DR Brown,0.2
DK Butler,0.2
N Deonarine,0.2
PC de Silva,0.2
ST de Silva,0.2
BJ Diamanti,0.2
F du Plessis,0.2
PS Eaglestone,0.2
Fahad Tariq,0.2
N Pradeep,0.2
AJ Finch,0.2
DR Flynn,0.2
MD Gunathilaka,0.2
MJ Guptill,0.2
T Henderson,0.2
H Hiri,0.2
KC Hodsoll,0.2
MEK Hussey,0.2
Jatinder Singh,0.2
DPMD Jayawardene,0.2
NG Jones,0.2
TP Kamungozi,0.2
M Kartik,0.2
JM Kemp,0.2
GE Kidd,0.2
RJ Kirtley,0.2
GJP Kruger,0.2
RDM Leverock,0.2
RN Lewis,0.2
J Little,0.2
NM Lyon,0.2
S Matsikenyeri,0.2
GJ McCarter,0.2
A Mehmood,0.2
Mehrab Hossain jnr,0.2
KO Meth,0.2
Mohammad Tauqir,0.2
JN Mohammed,0.2
Mohammed Qasim,0.2
HJC Mol,0.2
Mominul Haque,0.2
Muhammed Shanil,0.2
Muktar Ali,0.2
A Nao,0.2
Nasir Aziz,0.2
LN Oluoch,0.2
AK Perera,0.2
PDRL Perera,0.2
OL Pitcher,0.2
KTGD Prasad,0.2
EC Rainsford,0.2
Robiul Islam,0.2
Saad Nasim,0.2
Sajedul Islam,0.2
Saqlain Sajib,0.2
V Sehwag,0.2
Shabbir Ahmed,0.2
T Shamsi,0.2
GC Smith,0.2
JN Snape,0.2
Sohaib Maqsood,0.2
CB Sole,0.2
Soumya Sarkar,0.2
B Stanlake,0.2
Suhrawadi Shuvo,0.2
T Taibu,0.2
RJ Trott,0.2
TE Tucker,0.2
S Tyagi,0.2
JD Unadkat,0.2
M Vijay,0.2
MN Waller,0.2
Waqas Barkat,0.2
Waqas Khan,0.2
JW Wilson,0.2
Yasir Shah,0.2
Abdul Shakoor,0
Adnan Ilyas,0
Adnan Mufti,0
Afsar Zazai,0
RI Ahmed,0
PS Airee,0
TR Ambrose,0
Amjad Ali,0
Amjad Gul,0
HM Amla,0
Anamul Haque,0
Anas Khan,0
Aqib Ilyas,0
RP Arnold,0
Asad Shafiq,0
MS Atapattu,0
JJ Atkinson,0
Awais Zia,0
Babar Azam,0
Babar Hayat,0
S Badrinath,0
A Bagai,0
GJ Bailey,0
JM Bairstow,0
A Balbirnie,0
CT Bancroft,0
AB Barath,0
W Barresi,0
MC Bascombe,0
OO Bascome,0
TC Bastiampillai,0
D Bau,0
CS Baugh,0
IR Bell,0
B Bhandari,0
RA Bhatti,0
IS Billcliff,0
SW Billings,0
TR Birt,0
AM Blignaut,0
TA Blundell,0
GH Bodi,0
LE Bosman,0
MV Boucher,0
DM Bravo,0
JP Bray,0
NT Broom,0
DG Brownlie,0
TC Bruce,0
NB Budayair,0
JC Buttler,0
AF Buurman,0
MA Carberry,0
C Carter,0
JJ Celestine,0
RW Chakabva,0
S Chanderpaul,0
LD Chandimal,0
J Charles,0
DO Christian,0
FRJ Coleman,0
AN Cook,0
BN Cooper,0
CK Coventry,0
MH Cross,0
D Daesrath,0
RR David,0
SM Davies,0
TB de Bruyn,0
TN de Grooth,0
Q de Kock,0
SI de Saram,0
AB de Villiers,0
S Dhawan,0
Dhiman Ghosh,0
MS Dhoni,0
N Dickwella,0
HH Dippenaar,0
TM Dowlin,0
R Dravid,0
BR Dunk,0
J Edness,0
CR Ervine,0
Faizan Asif,0
Fakhar Zaman,0
CJ Ferguson,0
SE Findlay,0
R Flannigan,0
SP Fleming,0
ADS Fletcher,0
CR Foggo,0
JS Foster,0
PG Fulton,0
G Gambhir,0
D Ganga,0
Ghulam Shabber,0
HH Gibbs,0
AC Gilchrist,0
DM Gondaria,0
TG Gordon,0
R Gunasekera,0
BJ Haddin,0
AD Hales,0
GM Hamilton,0
Hammad Azam,0
Hamza Tariq,0
Haris Sohail,0
Hashmatullah Shahidi,0
ML Hayden,0
Hazratullah,0
DL Hemp,0
RR Hendricks,0
WW Hinds,0
GJ Hopkins,0
JM How,0
PJ Hughes,0
DP Hyatt,0
Iftikhar Ahmed,0
Imran Farhat,0
Imran Nazir,0
Imrul Kayes,0
CA Ingram,0
PJ Ingram,0
Inzamam-ul-Haq,0
SS Iyer,0
KM Jadhav,0
Jahurul Islam,0
Javed Ahmadi,0
CU Jayasinghe,0
JS Jesani,0
K Jethi,0
GO Jones,0
EC Joyce,0
Junaid Siddique,0
S Jyoti,0
Kamran Akmal,0
SHT Kandamby,0
CK Kapugedera,0
IA Karim,0
KD Karthik,0
SM Katich,0
AN Kervezee,0
S Keshvani,0
RWT Key,0
SP Khakurel,0
Khalid Latif,0
UT Khawaja,0
Khurram Manzoor,0
Khurram Nawaz,0
C Kieswetter,0
M Klinger,0
HG Kuhn,0
HGJM Kulatunga,0
NR Kumar,0
TWM Latham,0
RE Levi,0
E Lewis,0
Liton Das,0
LS Livingstone,0
MJ Lumb,0
CA Lynn,0
NFI McCallum,0
BB McCullum,0
PD McGlashan,0
ND McKenzie,0
CD McMillan,0
NJ Maddinson,0
RP Magar,0
DJ Malan,0
G Malla,0
AK Mandal,0
Mandeep Singh,0
SE Marsh,0
HJH Marshall,0
JAH Marshall,0
XM Marshall,0
DR Martyn,0
RD McCann,0
BKG Mendis,0
DA Miller,0
Misbah-ul-Haq,0
Mohammad Iqbal,0
Mohammad Mithun,0
Mohammad Qazi,0
Mohammad Rizwan,0
Mohammad Salman,0
Mohammad Shahzad,0
Mohammad Yousuf,0
GMC Mol,0
D Mongia,0
PJ Moor,0
VV Morea,0
EJG Morgan,0
RS Morton,0
M Mosehle,0
Muhammad Kaleem,0
Muhammad Usman,0
Mukhtar Ahmed,0
AA Mulla,0
Munir Dar,0
HG Munsey,0
D Murphy,0
Mushfiqur Rahim,0
P Mustard,0
F Mutizwa,0
R Mutumbami,0
SJ Myburgh,0
Nadif Chowdhury,0
Najeeb Tarakai,0
Najibullah Zadran,0
Naseem Khushi,0
Nasir Jamshed,0
Nauman Anwar,0
Nazimuddin,0
Nazmus Sadat,0
PM Nevill,0
HM Nicholls,0
PA Nixon,0
ML Nkala,0
Noor Ali Zadran,0
MJ North,0
Nurul Hasan,0
AA Obanda,0
NJ O'Brien,0
DO Obuya,0
NV Ojha,0
KO Otieno,0
MA Ouma,0
SD Outerbridge,0
TD Paine,0
K Pala,0
MK Pandey,0
RR Pant,0
BA Parchment,0
PA Patel,0
SP Patil,0
MDKJ Perera,0
WKD Perkins,0
AN Petersen,0
GD Phillips,0
LA Pomersbach,0
RT Ponting,0
NS Poonia,0
N Pooran,0
WTS Porterfield,0
A Poulose,0
KOA Powell,0
AD Poynter,0
SW Poynter,0
AG Prince,0
MJ Prior,0
SMA Priyanjan,0
Raees Ahmadzai,0
Rafatullah Mohmand,0
AM Rahane,0
KL Rahul,0
D Ramdin,0
Rameez Raja,0
Rameez Shahzad,0
DA Rankin,0
Raqibul Hasan,0
AT Rayudu,0
CMW Read,0
NJ Reardon,0
DJ Reekers,0
FL Reifer,0
ACL Richards,0
DM Richards,0
BJ Rohrer,0
L Ronchi,0
Rony Talukdar,0
RR Rossouw,0
JJ Roy,0
JA Rudolph,0
RJMGM Rupasinghe,0
HD Rutherford,0
Salman Butt,0
S Samarawickrama,0
SV Samson,0
KC Sangakkara,0
Saqlain Haider,0
Sarfraz Ahmed,0
JD Schoonheim,0
Shabir Noori,0
Shafiqullah,0
KD Shah,0
OA Shah,0
Shahid Wasif,0
Shahriar Nafees,0
Shahzaib Hasan,0
Shaiman Anwar,0
Shakeel Ansar,0
Shamsur Rahman,0
JNK Shannon,0
Sharjeel Khan,0
V Shetty,0
Shoaib Khan jnr,0
L Siaka,0
V Sibanda,0
Sikander Zulfiqar,0
MS Sinclair,0
CJO Smith,0
DS Smith,0
SJS Smith,0
J Smits,0
VS Solanki,0
L Sreekumar,0
AJ Strauss,0
R Strydom,0
Sultan Ahmed,0
ZE Surkari,0
ES Szwarczynski,0
Tamim Iqbal,0
LRPL Taylor,0
SP Terry,0
WU Tharanga,0
HDRL Thirimanne,0
DC Thomas,0
GJ Thompson,0
MK Tiwary,0
ME Trescothick,0
IJL Trott,0
L Tucker,0
ML Udawatte,0
Umar Akmal,0
Umar Amin,0
TP Ura,0
Usman Ghani,0
Usman Limbada,0
Usman Mushtaq,0
RV Uthappa,0
VB van Jaarsveld,0
MN van Wyk,0
JNT Vare,0
MP Vaughan,0
S Vesawkar,0
DJ Vilas,0
JM Vince,0
L Vincent,0
TP Visee,0
KDK Vithanage,0
MS Wade,0
CD Wallace,0
CAK Walton,0
DA Warner,0
VS Wategaonkar,0
BJ Watling,0
DF Watts,0
GC Wilson,0
Zeeshan Siddiqui,0
B Zuiderent,0
Zulqarnain Haider,0
R Dhawan,2
WD Parnell,3
DB Ravi Teja,1
RA Jadeja,2
AC Thomas,2
JD Ryder,1
BJ Rohrer,1
J Botha,2
S Anirudha,1
SW Billings,1
MJ Clarke,1
AC Voges,1
J Suchith,2
S Nadeem,1
CM Gautam,1
HH Pandya,1
VR Aaron,2
UA Birla,1
B Sumanth,1
BCJ Cutting,2
RR Raje,2
AN Ghosh,1
Harmeet Singh,2
Umar Gul,5
YS Chahal,3
Azhar Mahmood,1
R Tewatia,2
P Negi,1
SC Ganguly,1
AA Chavan,1
MP Stoinis,2
RP Singh,3
CK Langeveldt,5
DJ Jacobs,1
PJ Sangwan,2
MS Dhoni,1
KC Cariappa,1
V Pratap Singh,1
TR Birt,1
Harpreet Singh,1
C Nanda,2
FY Fazal,1
Shoaib Akhtar,5
Imran Tahir,3
AUK Pathan,1
R McLaren,2
Shivam Sharma,2
Yuvraj Singh,1
P Sahu,2
AD Nath,1
CA Lynn,1
KD Karthik,1
K Goel,1
Karanveer Singh,4
MJ McClenaghan,3
X Thalaivan Sargunam,1
KL Rahul,1
MC Juneja,1
Jaskaran Singh,2
M Kartik,2
Kamran Khan,3
LPC Silva,1
AB McDonald,2
Misbah-ul-Haq,1
MD Mishra,1
AR Patel,2
GH Vihari,1
SA Yadav,1
Mohammad Hafeez,1
AB Agarkar,2
YA Abdulla,4
K Upadhyay,1
P Parameswaran,2
DH Yagnik,1
M Rawat,1
DA Miller,1
BJ Hodge,1
RT Ponting,1
SK Warne,3
NS Naik,1
BW Hilfenhaus,2
M Kaif,1
A Zampa,3
AL Menaria,1
SS Tiwary,1
A Symonds,2
CH Gayle,1
KB Arun Karthik,1
WP Saha,1
HV Patel,2
RG Sharma,1
MJ Guptill,1
MEK Hussey,1
MG Johnson,3
SS Iyer,1
S Sriram,1
MA Starc,4
AM Rahane,1
S Ladda,2
P Awana,2
R Bhatia,2
DAJ Bracewell,1
KS Williamson,1
EJG Morgan,1
Y Venugopal Rao,1
AB de Villiers,1
SK Raina,1
DW Steyn,2
SM Katich,1
JR Hopes,2
ST Jayasuriya,2
CJ Jordan,3
Bipul Sharma,2
CK Kapugedera,1
MN Samuels,1
SN Thakur,1
F du Plessis,1
WPUJC Vaas,4
Anirudh Singh,1
A Ashish Reddy,1
JA Morkel,2
V Sehwag,1
DJ Hussey,1
S Rana,1
DE Bollinger,3
Ankit Sharma,1
SM Boland,3
RR Pant,1
AD Mascarenhas,3
KA Pollard,1
DR Smith,1
P Suyal,1
MM Patel,3
A Nel,3
F Behardien,1
M Vijay,1
Sohail Tanvir,5
JH Kallis,2
Kuldeep Yadav,1
WA Mota,1
AT Rayudu,1
VVS Laxman,1
SB Styris,2
DP Vijaykumar,2
A Singh,2
MK Tiwary,1
Anureet Singh,3
B Laughlin,1
MF Maharoof,4
AF Milne,1
Gagandeep Singh,2
TG Southee,2
PM Sarvesh Kumar,2
IC Pandey,2
HM Amla,1
V Kohli,1
M Manhas,1
RG More,2
MR Marsh,2
LA Carseldine,1
AJ Finch,1
SR Watson,2
ND Doshi,2
M Ashwin,2
P Amarnath,3
CL White,1
S Kaul,1
TM Dilshan,1
JC Buttler,1
SR Tendulkar,1
KM Jadhav,1
DT Christian,1
JM Kemp,2
NL McCullum,1
B Akhil,1
BMAJ Mendis,1
M de Lange,1
SB Bangar,1
IR Jaggi,1
DJ Muthuswami,2
LMP Simmons,1
RE van der Merwe,3
G Gambhir,1
Y Nagar,1
MM Sharma,3
AG Paunikar,1
C Munro,1
Sunny Singh,1
R Bishnoi,1
SE Bond,3
JEC Franklin,1
AM Salvi,3
GJ Maxwell,1
JP Faulkner,2
ML Hayden,1
M Muralitharan,2
Sachin Baby,1
Mohammad Asif,3
A Uniyal,3
CJ Ferguson,1
Mohammed Shami,2
T Thushara,4
CJ McKay,1
Mohammad Ashraful,1
Y Gnaneswara Rao,1
DJG Sammy,2
KV Sharma,2
CA Ingram,1
PD Collingwood,2
AD Mathews,1
SS Sarkar,2
S Gopal,3
SP Narine,2
KK Cooper,2
SL Malinga,3
AA Noffke,3
Joginder Sharma,2
S Sreesanth,3
RR Sarwan,1
NK Patel,1
Anand Rajan,2
Ishan Kishan,1
L Ronchi,1
Z Khan,2
RR Bhatkal,1
D Kalyankrishna,2
TM Srivastava,1
SM Harwood,3
MS Gony,2
NLTC Perera,2
RS Bopara,2
AA Bilakhia,1
UT Khawaja,1
DS Lehmann,1
LA Pomersbach,1
C Madan,1
MS Bisla,1
Yashpal Singh,1
GR Napier,3
NJ Rimmington,1
JD Unadkat,2
RR Rossouw,1
RR Powar,2
AS Raut,1
DPMD Jayawardene,1
DR Martyn,1
AG Murtaza,2
